,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.95976639e+03 4.53162352e+01 2.21362592e+00],[0.00104751 0.00096812 0.0010688 ]
1,H-α,Gaussian,2,[4.95976886e+03 4.53181390e+01 2.21290023e+00],[0.00091079 0.00103321 0.00096614]
2,H-β,Gaussian,1,[5.00796458e+03 1.31524873e+02 2.19886683e+00],[0.0009889  0.00103733 0.00101211]
3,H-β,Gaussian,2,[5.00796676e+03 1.31521805e+02 2.19866554e+00],[0.00098369 0.00100844 0.00101663]
4,He-I,Gaussian,1,[4.86251843e+03 2.15188653e+01 1.94442252e+00],[0.00101577 0.00104845 0.00101163]
5,He-I,Gaussian,2,[4.86252138e+03 2.15170096e+01 1.94392575e+00],[0.00105086 0.00101645 0.00102141]
6,"N-I,1",Gaussian,1,[5.20069361e+03 2.32669265e+00 2.66756992e+00],[0.0009257  0.00106973 0.00096739]
7,"N-I,1",Gaussian,2,[5.20069602e+03 2.32928444e+00 2.66885571e+00],[0.00102945 0.00102331 0.00091958]
8,"N-I,2",Gaussian,1,[5.20069645e+03 2.32922963e+00 2.66720216e+00],[0.00089588 0.00097188 0.00086442]
9,"N-I,2",Gaussian,2,[5.20069606e+03 2.32781003e+00 2.66942641e+00],[0.00089055 0.00098718 0.00091162]
10,"N-II,1",Gaussian,1,[5.87707694e+03 2.42329497e+00 2.48054063e+00],[0.00091762 0.00097841 0.00101308]
11,"N-II,1",Gaussian,2,[5.87707658e+03 2.42324829e+00 2.47958155e+00],[0.00101803 0.00097804 0.00096187]
12,"N-II,2",Gaussian,1,[6.30175357e+03 1.04517717e+01 2.59547647e+00],[0.00085183 0.00098567 0.0009229 ]
13,"N-II,2",Gaussian,2,[6.30175092e+03 1.04535442e+01 2.59366229e+00],[0.00103177 0.0009008  0.00103226]
14,"O-I,1",Gaussian,1,[6.36592263e+03 3.30421142e+00 2.62806474e+00],[0.00096432 0.00096398 0.00096543]
15,"O-I,1",Gaussian,2,[6.36592226e+03 3.30421479e+00 2.62867838e+00],[0.00099767 0.00094151 0.00105512]
16,"O-I,2",Gaussian,1,[6.55030076e+03 1.46295476e+01 2.64547095e+00],[0.00107197 0.00097972 0.00098939]
17,"O-I,2",Gaussian,2,[6.55030296e+03 1.46296748e+01 2.64688726e+00],[0.00105809 0.00092297 0.00098519]
18,"O-III,1",Gaussian,1,[6.58508432e+03 4.33181197e+01 2.96883111e+00],[0.00098585 0.00107046 0.00096354]
19,"O-III,1",Gaussian,2,[6.58508308e+03 4.33183645e+01 2.96615618e+00],[0.00101243 0.00100453 0.00097318]
20,"O-III,2",Gaussian,1,[6.56389091e+03 5.80634905e+01 2.94303320e+00],[0.00102954 0.00091978 0.00095191]
21,"O-III,2",Gaussian,2,[6.56389282e+03 5.80639533e+01 2.94353043e+00],[0.00103507 0.00096265 0.00101031]
22,"S-II,1",Gaussian,1,[6.71832912e+03 2.01944702e+01 2.39855801e+00],[0.00096011 0.00100809 0.00098133]
23,"S-II,1",Gaussian,2,[6.71833234e+03 2.01967874e+01 2.39780049e+00],[0.00095982 0.00101863 0.00093378]
24,"S-II,2",Gaussian,1,[6.73226730e+03 1.86323263e+01 2.60533383e+00],[0.00112971 0.00110038 0.00103977]
25,"S-II,2",Gaussian,2,[6.73226949e+03 1.86332469e+01 2.60524120e+00],[0.00103439 0.00107161 0.00098884]
26,Continuum,Continuum,0,[6.73226949e+03 1.86332469e+01 2.60524120e+00],[0. 0. 0.]
