,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Lorentzian,1,[4.96066461e+03 1.12003494e+02 2.07717107e+00],[0.00109739 0.00106382 0.0010385 ]
1,H-β,Lorentzian,1,[5.00887167e+03 3.12173805e+02 2.14175961e+00],[0.00090329 0.00101899 0.00095692]
2,He-I,Lorentzian,1,[4.86339902e+03 2.91423824e+01 2.22887417e+00],[0.00097357 0.00107247 0.00090374]
3,"N-I,1",Lorentzian,1,[5.20043478e+03 3.44700776e+00 2.19530011e+00],[0.00107273 0.00100013 0.00094144]
4,"N-I,2",Lorentzian,1,[5.20043746e+03 3.44588929e+00 2.19545119e+00],[0.00089665 0.00087785 0.00106392]
5,"N-II,1",Lorentzian,1,[5.87678648e+03 2.88181692e+00 4.22360951e+00],[0.00107173 0.00108428 0.00110798]
6,"N-II,2",Lorentzian,1,[6.30289207e+03 7.56792740e+00 2.43511719e+00],[0.00106593 0.00099985 0.00088702]
7,"O-I,1",Lorentzian,1,[6.36560759e+03 2.50258844e+00 2.35661929e+00],[0.00096316 0.00098719 0.00092315]
8,"O-I,2",Lorentzian,1,[6.54997723e+03 2.39736880e+01 2.68521167e+00],[0.0011141  0.00098514 0.00081918]
9,"O-III,1",Lorentzian,1,[6.58627382e+03 6.77959475e+01 3.00668931e+00],[0.00100955 0.00092734 0.00110785]
10,"O-III,2",Lorentzian,1,[6.56507644e+03 8.51242229e+01 3.04775433e+00],[0.0009149  0.00093444 0.00105262]
11,"S-II,1",Lorentzian,1,[6.71799742e+03 2.45503795e+01 2.83328587e+00],[0.00111277 0.00104694 0.0010369 ]
12,"S-II,2",Lorentzian,1,[6.73348105e+03 2.20511040e+01 2.75664804e+00],[0.00103332 0.00100695 0.00096235]
13,Continuum,Continuum,0,[6.73348105e+03 2.20511040e+01 2.75664804e+00],[0. 0. 0.]
