,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.95776043e+03 7.04977723e+02 3.74197801e+00],[0.0009584  0.00113281 0.00100761]
1,H-β,Gaussian,1,[5.00593890e+03 2.02670607e+03 3.73589738e+00],[0.00097517 0.00098361 0.00113816]
2,He-I,Gaussian,1,[4.86055054e+03 2.47984650e+02 3.76523159e+00],[0.00091809 0.00100412 0.00088055]
3,"N-I,1",Gaussian,1,[5.19978807e+03 1.92618793e+01 3.90483684e+00],[0.00094225 0.0009378  0.00095424]
4,"N-I,2",Gaussian,1,[5.19978631e+03 1.92633170e+01 3.90526290e+00],[0.00091974 0.00098734 0.0009979 ]
5,"N-II,1",Gaussian,1,[5.87469674e+03 3.41317085e+01 4.35549166e+00],[0.00108198 0.00098597 0.00102474]
6,"N-II,2",Gaussian,1,[6.29920073e+03 4.72732918e+01 4.91852596e+00],[0.00098229 0.00093408 0.00105053]
7,"O-I,1",Gaussian,1,[6.54764951e+03 1.91444902e+02 1.29351976e+00],[0.00107145 0.00099132 0.00096377]
8,"O-III,1",Gaussian,1,[6.58241867e+03 5.67168221e+02 4.97337151e+00],[0.00108174 0.00101293 0.00105577]
9,"O-III,2",Gaussian,1,[6.56123519e+03 6.60998993e+02 5.18798907e+00],[0.00111719 0.00107537 0.00097654]
10,"S-II,1",Gaussian,1,[6715.61087485  216.03666802   10.9209644 ],[0.00093635 0.0011084  0.00105383]
11,"S-II,2",Gaussian,1,[6.72954185e+03 1.60536110e+02 1.93146743e+00],[0.00105845 0.00100496 0.00094361]
12,Continuum,Continuum,0,[6.72954185e+03 1.60536110e+02 1.93146743e+00],[0. 0. 0.]
