,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Gaussian,1,[4.95976665e+03 9.06323148e+01 2.21519880e+00],[0.00098694 0.00084789 0.00105272]
1,H-β,Gaussian,1,[5.00796717e+03 2.63046377e+02 2.19983722e+00],[0.00113892 0.00093992 0.00095131]
2,He-I,Gaussian,1,[4.86251815e+03 4.30342519e+01 1.94409032e+00],[0.00102214 0.00094366 0.00089194]
3,"N-I,1",Gaussian,1,[5.20069540e+03 4.65663706e+00 2.66855245e+00],[0.00096728 0.00093055 0.00097259]
4,"N-I,2",Gaussian,1,[5.20069469e+03 4.65582003e+00 2.66681475e+00],[0.00099819 0.00103019 0.00098969]
5,"N-II,1",Gaussian,1,[5.87707644e+03 4.84588938e+00 2.48132635e+00],[0.00115123 0.00102426 0.00102104]
6,"N-II,2",Gaussian,1,[6.30175343e+03 2.09036691e+01 2.59632709e+00],[0.00099714 0.00100816 0.00091647]
7,"O-I,1",Gaussian,1,[6.36592010e+03 6.60789669e+00 2.62837950e+00],[0.00094266 0.00095839 0.00107824]
8,"O-I,2",Gaussian,1,[6.55030280e+03 2.92590150e+01 2.64955566e+00],[0.0010886  0.00103729 0.0010946 ]
9,"O-III,1",Gaussian,1,[6.58508408e+03 8.66409676e+01 2.96768117e+00],[0.00084122 0.00101503 0.00102448]
10,"O-III,2",Gaussian,1,[6.56389044e+03 1.16128423e+02 2.94095301e+00],[0.00087316 0.00099747 0.00097424]
11,"S-II,1",Gaussian,1,[6.71832901e+03 4.03909997e+01 2.39726222e+00],[0.00105058 0.00112908 0.00096882]
12,"S-II,2",Gaussian,1,[6.73226904e+03 3.72682344e+01 2.60470303e+00],[0.00103096 0.0010041  0.00109563]
13,Continuum,Continuum,0,[6.73226904e+03 3.72682344e+01 2.60470303e+00],[0. 0. 0.]
