,Line Name,Model,Component,Parameters,Parameter Errors
0,H-α,Lorentzian,1,[4.95976888e+03 9.06324888e+01 2.45737286e+00],[0.00104911 0.0010595  0.0008567 ]
1,H-β,Lorentzian,1,[5.00796434e+03 2.63047053e+02 2.44218301e+00],[0.00090265 0.00105777 0.00090358]
2,He-I,Lorentzian,1,[4.86251791e+03 4.30358230e+01 2.15814950e+00],[0.00092434 0.00095366 0.00102565]
3,"N-I,1",Lorentzian,1,[5.20069422e+03 4.65758684e+00 2.96088514e+00],[0.00104351 0.00108593 0.00105606]
4,"N-I,2",Lorentzian,1,[5.20069423e+03 4.65552486e+00 2.96360187e+00],[0.00096619 0.00096307 0.00101362]
5,"N-II,1",Lorentzian,1,[5.87707621e+03 4.84661623e+00 2.75355473e+00],[0.00107591 0.00095388 0.00097669]
6,"N-II,2",Lorentzian,1,[6.30175362e+03 2.09044566e+01 2.88325640e+00],[0.00094824 0.00104601 0.0009349 ]
7,"O-I,1",Lorentzian,1,[6.36592136e+03 6.60897706e+00 2.91714006e+00],[0.0008531  0.00096029 0.00089303]
8,"O-I,2",Lorentzian,1,[6.55030101e+03 2.92601890e+01 2.93796892e+00],[0.00094923 0.0010855  0.00095618]
9,"O-III,1",Lorentzian,1,[6.58508525e+03 8.66418272e+01 3.29195794e+00],[0.0010279  0.00108502 0.00091054]
10,"O-III,2",Lorentzian,1,[6.56389056e+03 1.16129414e+02 3.26454321e+00],[0.00115626 0.00096933 0.00108085]
11,"S-II,1",Lorentzian,1,[6.71832944e+03 4.03904196e+01 2.66077378e+00],[0.00096336 0.00106978 0.00103779]
12,"S-II,2",Lorentzian,1,[6.73226641e+03 3.72690693e+01 2.89167792e+00],[0.00100679 0.00109723 0.00098069]
13,Continuum,Continuum,0,[6.73226641e+03 3.72690693e+01 2.89167792e+00],[0. 0. 0.]
